INFO  2015-12-21 14:36:07,534 正在确定数据库环境，请稍候... - MyBatisEnvironmentProber:queryDatabaseEnvironment 
INFO  2015-12-21 14:36:08,127 已经确定当前运行的数据库环境为  Oracle,事务管理采用 JTA 方式，系统将根据所在数据库环境进行初始化. - MyBatisEnvironmentProber:queryDatabaseEnvironment 
INFO  2015-12-21 14:36:09,859 INFO:当前运行的应用服务器是 jetty/7.6.15.v20140411 - ApplicationServerEnvironment:<init> 
INFO  2015-12-21 14:36:10,250 Wro4j's Context initializing.. - Wro4jContextInitializer:start 
INFO  2015-12-21 14:36:10,297 Successfully loaded wro4j properties (com/siims/framework/utils/wro/wro.properties) file from classpath - Wro4jContextInitializer:createProperties 
INFO  2015-12-21 14:36:10,297 No custom wro4j properties file found in classpath - Wro4jContextInitializer:createProperties 
INFO  2015-12-21 14:36:10,391 Wro4j's Context initialized - Wro4jContextInitializer:start 
INFO  2015-12-21 14:36:10,859 MyBatis Mapper Configuration Parsing... - XMLConfigBuilderExtensionHelper:parseJavassist 
INFO  2015-12-21 14:36:10,874 MyBatis Mapper Configuration Parsed. - XMLConfigBuilderExtensionHelper:parseJavassist 
INFO  2015-12-21 14:36:27,969 hibernate jta flatform:org.hibernate.service.jta.platform.internal.BitronixJtaPlatform - HibernateGuiceModule:createHibernateConfiguration 
INFO  2015-12-21 14:36:35,622 CacheManager: No custom properties file found in classpath - CacheConfig:<clinit> 
